contactsandfaults_id,type,isconcealed,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.ContactsAndFaults.13785,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13786,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13787,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13814,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13788,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13789,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13790,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13791,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13792,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13819,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13793,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13794,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13795,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13796,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13797,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13798,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13799,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13800,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13801,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13802,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13803,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13804,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13805,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13806,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.121,,61
GMA.ContactsAndFaults.13807,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13808,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13809,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13810,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13811,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13812,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13813,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13815,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13816,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.81,,307
GMA.ContactsAndFaults.13817,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13820,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.81,,307
GMA.ContactsAndFaults.13821,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13822,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13823,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13824,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13825,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13826,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13827,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13828,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13829,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13830,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13831,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.81,,307
GMA.ContactsAndFaults.13832,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13833,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13834,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13835,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13836,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13837,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13838,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13839,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13840,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13841,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
