standardlithology_id,mapunit,parttype,lithology,proportionterm,proportionvalue,scientificconfidence,datasourceid
GMA.StandardLithology.75,Tv,Not Assigned,Welded tuff,Subordinate,0,Standard Confidence,GMA.DataSources.200
GMA.StandardLithology.77,Tv,Not Assigned,Fine grained or porphyritic crystalline rock,Dominant,0,Standard Confidence,GMA.DataSources.204
GMA.StandardLithology.168,Tg,Not Assigned,Granitic rock (granitoid),Dominant,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.131,Ti,Not Assigned,Rhyolitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.132,Ti,Not Assigned,Porphyritic normal composition igneous rock,Present,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.133,Ti,Not Assigned,Fine grained or porphyritic crystalline rock,Present,0,Standard Confidence,GMA.DataSources.204
GMA.StandardLithology.129,Ti,Not Assigned,Andesitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.130,Ti,Not Assigned,Dacitic rock,Present,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.17,TXgn,Not Assigned,Mylonitic rock,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.20,TXgn,Not Assigned,Layered gneiss,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.18,TXgn,Not Assigned,Orthogneiss,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.22,TXgn,Not Assigned,Pegmatite,Subordinate,0,Standard Confidence,GMA.DataSources.200
GMA.StandardLithology.19,TXgn,Not Assigned,Non layered gneiss,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.21,TXgn,Not Assigned,Augen gneiss,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.181,Tso,Not Assigned,Sandstone (sandy rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.177,Tso,Not Assigned,Generic conglomeratic rock (conglomeratic rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.198
GMA.StandardLithology.178,Tso,Not Assigned,Sandstone (sandy rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.179,Tso,Not Assigned,Mudstone (mudrock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.180,Tso,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.182,Tso,Not Assigned,Conglomeratic sandstone,Dominant,0,Standard Confidence,GMA.DataSources.193
